Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer
2023,IS 350 F SPORT DESIGN,Iridium,RWD,43160,0.0,43160.0,Port to dealer,False,,JTHBZ1B20P5067888,Lexus of Jacksonville
2023,IS 350 F SPORT DESIGN,Atomic Silver,RWD,43160,0.0,43160.0,Port to dealer,False,,JTHBZ1B21P5067818,Lexus of Pembroke Pines
2023,IS 350 F SPORT,INCOGNITO WITH OBSIDIAN ROOF,RWD,44410,0.0,44410.0,At dealer,False,DealerHold,JTHBZ1B22P5067116,Sterling McCall Lexus Clear Lake
2023,IS 350 F SPORT DESIGN,Caviar,RWD,43160,0.0,43160.0,At dealer,False,DealerHold,JTHBZ1B22P5067486,Lexus of West Kendall
2023,IS 350 F SPORT,INCOGNITO WITH OBSIDIAN ROOF,RWD,44410,0.0,44410.0,At dealer,False,DealerHold,JTHBZ1B23P5066766,Lexus of Fremont
2023,IS 350 F SPORT DESIGN,Iridium,RWD,43160,0.0,43160.0,At dealer,False,,JTHBZ1B23P5066900,Parker Lexus
2023,IS 350 F SPORT DESIGN,Ultra White,RWD,43160,0.0,43160.0,Port to dealer,False,DealerHold,JTHBZ1B23P5067495,Flow Lexus of Greensboro
2023,IS 350 F SPORT,INCOGNITO WITH OBSIDIAN ROOF,RWD,44410,0.0,44410.0,Port to dealer,False,DealerHold,JTHBZ1B23P5067710,Lexus of Tulsa
2023,IS 350 F SPORT DESIGN,Infrared,RWD,43160,0.0,43160.0,Port to dealer,False,,JTHBZ1B23P5067741,Lexus of Winter Park
2023,IS 350 F SPORT DESIGN,Ultra White,RWD,43160,0.0,43160.0,Port to dealer,False,,JTHBZ1B23P5067786,Lexus of Pembroke Pines
2023,IS 350 F SPORT DESIGN,Ultra White,RWD,43160,0.0,43160.0,At dealer,False,,JTHBZ1B24P5066744,Sewell Lexus of Ft. Worth
2023,IS 350 F SPORT DESIGN,Infrared,RWD,43160,0.0,43160.0,At dealer,False,DealerHold,JTHBZ1B24P5067246,Northside Lexus
2023,IS 350 F SPORT DESIGN,Ultra White,RWD,43160,0.0,43160.0,At dealer,False,,JTHBZ1B24P5067568,Lexus of Pembroke Pines
2023,IS 350 F SPORT DESIGN,Atomic Silver,RWD,43160,0.0,43160.0,Port to dealer,False,,JTHBZ1B24P5067862,JM Lexus
2023,IS 350 F SPORT,INCOGNITO WITH OBSIDIAN ROOF,RWD,44410,0.0,44410.0,Port to dealer,False,DealerHold,JTHBZ1B24P5068297,Lexus Monterey Peninsula
2023,IS 350 F SPORT,INCOGNITO WITH OBSIDIAN ROOF,RWD,44160,0.0,44160.0,At dealer,False,DealerHold,JTHBZ1B25P5065876,Eskridge Lexus of Oklahoma City
2023,IS 350 F SPORT DESIGN,Caviar,RWD,43160,0.0,43160.0,At dealer,False,DealerHold,JTHBZ1B25P5067174,Northside Lexus
2023,IS 350 F SPORT DESIGN,Infrared,RWD,43160,0.0,43160.0,Port to dealer,False,Available,JTHBZ1B25P5067448,Lexus of Cool Springs
2023,IS 350 F SPORT DESIGN,Atomic Silver,RWD,43160,0.0,43160.0,Port to dealer,False,,JTHBZ1B25P5067711,Lexus of Clearwater
2023,IS 350 F SPORT DESIGN,Caviar,RWD,43160,0.0,43160.0,At dealer,False,,JTHBZ1B26P5066633,Hendrick Lexus Charleston
2023,IS 350 F SPORT DESIGN,Ultra White,RWD,43160,0.0,43160.0,At dealer,False,DealerHold,JTHBZ1B26P5067474,Northside Lexus
2023,IS 350 F SPORT DESIGN,Caviar,RWD,43160,0.0,43160.0,Port to dealer,False,DealerHold,JTHBZ1B26P5068429,Westside Lexus
2023,IS 350 F SPORT DESIGN,Ultra White,RWD,43160,0.0,43160.0,Port to dealer,False,DealerHold,JTHBZ1B27P5067564,Lexus of West Kendall
2023,IS 350 F SPORT,INCOGNITO WITH OBSIDIAN ROOF,RWD,44410,0.0,44410.0,Port to dealer,False,DealerHold,JTHBZ1B27P5067614,Lexus of Tucson at the Auto Mall
2023,IS 350 F SPORT DESIGN,Iridium,RWD,43160,0.0,43160.0,Port to dealer,False,,JTHBZ1B27P5067676,JM Lexus
2023,IS 350 F SPORT,INCOGNITO WITH OBSIDIAN ROOF,RWD,44410,0.0,44410.0,Port to dealer,False,,JTHBZ1B27P5067757,Lexus of Tampa Bay
2023,IS 350 F SPORT DESIGN,Caviar,RWD,43160,0.0,43160.0,At dealer,False,,JTHBZ1B28P5067119,Sewell Lexus of Ft. Worth
2023,IS 350 F SPORT,INCOGNITO WITH OBSIDIAN ROOF,RWD,44410,0.0,44410.0,At dealer,False,,JTHBZ1B28P5067265,JM Lexus
2023,IS 350 F SPORT,INCOGNITO WITH OBSIDIAN ROOF,RWD,44410,0.0,44410.0,At dealer,False,,JTHBZ1B28P5067430,Lexus of Las Vegas
2023,IS 350 F SPORT DESIGN,Infrared,RWD,43160,0.0,43160.0,Port to dealer,False,,JTHBZ1B28P5067847,Lexus of Palm Beach
2023,IS 350 F SPORT DESIGN,Ultra White,RWD,43160,0.0,43160.0,At dealer,False,,JTHBZ1B29P5066643,Treasure Coast Lexus
