Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer
2023,LC 500,Ultra White,RWD,94450,0.0,94450.0,At dealer,False,DealerHold,JTHAP5AY0PA107778,Westside Lexus
2023,LC 500,Ultra White,RWD,94450,0.0,94450.0,At dealer,False,,JTHAP5AY0PA107845,Ourisman Lexus of Rockville
2024,LC 500,Caviar,RWD,97700,0.0,97700.0,At dealer,False,DealerHold,JTHAP5AY0RA107993,Lexus of Knoxville
2024,LC 500,Ultra White,RWD,97700,0.0,97700.0,Port to dealer,False,Available,JTHAP5AY0RA108092,Sewell Lexus
2023,LC 500,Ultra White,RWD,94450,0.0,94450.0,At dealer,False,DealerHold,JTHAP5AY1PA107420,Lexus of Kingsport
2023,LC 500,Ultra White,RWD,94450,0.0,94450.0,At dealer,False,Available,JTHAP5AY2PA107426,Hoffman Lexus
2024,LC 500,Cloudburst Gray,RWD,97700,0.0,97700.0,At dealer,False,,JTHAP5AY2RA108059,Lexus of Birmingham
2023,LC 500,Ultra White,RWD,94450,0.0,94450.0,At dealer,False,DealerHold,JTHAP5AY3PA107497,Lexus of Kendall
2024,LC 500,Ultra White,RWD,97700,0.0,97700.0,Port to dealer,False,,JTHAP5AY3RA108071,Fox Lexus of El Paso
2024,LC 500,Infrared,RWD,97700,0.0,97700.0,Port to dealer,False,,JTHAP5AY3RA108099,Butler Lexus
2024,LC 500,Caviar,RWD,97700,0.0,97700.0,At dealer,False,Available,JTHAP5AY3RA108104,Sewell Lexus
2023,LC 500,Ultra White,RWD,94450,0.0,94450.0,At dealer,False,DealerHold,JTHAP5AY4PA107346,Len Stoler Lexus
2024,LC 500,Infrared,RWD,97700,0.0,97700.0,Port to dealer,False,DealerHold,JTHAP5AY4RA108337,Lexus of New Orleans
2024,LC 500,Atomic Silver,RWD,97700,0.0,97700.0,Port to dealer,False,DealerHold,JTHAP5AY6RA108081,Len Stoler Lexus
2024,LC 500,Infrared,RWD,97700,0.0,97700.0,At dealer,True,DealerHold,JTHAP5AY6RA108128,Lexus of New Orleans
