Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer
2023,LC 500 Convertible,Ultra White,RWD,101500,0.0,101500.0,At dealer,False,DealerHold,JTHMPAAY0PA106815,Mungenast Lexus of St. Louis
2023,LC 500 Convertible,Ultra White,RWD,102500,4995.0,107495.0,At dealer,False,Available,JTHMPAAY0PA107138,Sheehy Lexus of Annapolis
2023,LC 500 Convertible,Infrared,RWD,102500,0.0,102500.0,At dealer,False,,JTHMPAAY0PA107253,Treasure Coast Lexus
2023,LC 500 Convertible,Atomic Silver,RWD,102500,0.0,102500.0,At dealer,False,,JTHMPAAY0PA107527,Longo Lexus
2023,LC 500 Convertible,Infrared,RWD,102500,0.0,102500.0,At dealer,False,DealerHold,JTHMPAAY0PA107530,David McDermott Lexus of New Haven
2023,LC 500 Convertible,Caviar,RWD,102500,0.0,102500.0,At dealer,False,,JTHMPAAY0PA107561,Lexus of Greenwood Village
2023,LC 500 Convertible,Caviar,RWD,102500,399.0,102899.0,At dealer,False,Available,JTHMPAAY0PA107592,Lexus of Tulsa
2023,LC 500 Convertible,Infrared,RWD,102500,0.0,102500.0,At dealer,False,Available,JTHMPAAY0PA107706,Lexus of Northborough
2023,LC 500 Convertible,Infrared,RWD,102500,5890.0,108390.0,At dealer,False,,JTHMPAAY0PA107768,Sheehy Lexus of Annapolis
2023,LC 500 Convertible,Ultra White,RWD,102500,0.0,102500.0,Port to dealer,False,DealerHold,JTHMPAAY0PA107799,Willis Lexus
2023,LC 500 Convertible,Caviar,RWD,102500,0.0,102500.0,At dealer,False,,JTHMPAAY0PA107821,Superstition Springs Lexus
2024,LC 500 Convertible,Ultra White,RWD,105200,0.0,105200.0,At dealer,False,,JTHMPAAY0RA107868,Park Place Lexus Grapevine
2024,LC 500 Convertible,Caviar,RWD,105200,0.0,105200.0,Port to dealer,False,,JTHMPAAY0RA107935,Lexus of Towson
2024,LC 500 Convertible,Infrared,RWD,105200,0.0,105200.0,At dealer,False,DealerHold,JTHMPAAY0RA107966,Lexus of Jacksonville
2024,LC 500 Convertible,Cloudburst Gray,RWD,105200,0.0,105200.0,At dealer,False,,JTHMPAAY0RA108065,Sterling McCall Lexus
2024,LC 500 Convertible,Ultra White,RWD,105200,0.0,105200.0,At dealer,False,DealerHold,JTHMPAAY0RA108129,Eskridge Lexus of Oklahoma City
2024,LC 500 Convertible,Cloudburst Gray,RWD,105200,0.0,105200.0,Port to dealer,False,,JTHMPAAY0RA108213,Lexus of Pembroke Pines
2024,LC 500 Convertible,Nori Green Pearl,RWD,105200,0.0,105200.0,Port to dealer,False,,JTHMPAAY0RA108325,Park Place Lexus Grapevine
2024,LC 500 Convertible,Ultra White,RWD,105200,0.0,105200.0,Port to dealer,False,,JTHMPAAY0RA108356,Parker Lexus
2023,LC 500 Convertible,Cloudburst Gray,RWD,101500,0.0,101500.0,At dealer,False,DealerHold,JTHMPAAY1PA106497,Lexus of Pembroke Pines
2023,LC 500 Convertible,Ultra White,RWD,101500,0.0,101500.0,At dealer,False,Available,JTHMPAAY1PA106726,Lexus of Southampton
2023,LC 500 Convertible,Ultra White,RWD,101500,0.0,101500.0,At dealer,False,DealerHold,JTHMPAAY1PA106841,Crown Lexus
2023,LC 500 Convertible,Ultra White,RWD,102500,0.0,102500.0,At dealer,False,,JTHMPAAY1PA107097,Cavender Lexus of Lubbock
2023,LC 500 Convertible,Caviar,RWD,102500,0.0,102500.0,At dealer,False,DealerHold,JTHMPAAY1PA107259,Jim Falk Lexus of Beverly Hills
2023,LC 500 Convertible,Ultra White,RWD,102500,0.0,102500.0,At dealer,False,DealerHold,JTHMPAAY1PA107293,Sterling McCall Lexus Clear Lake
2023,LC 500 Convertible,Ultra White,RWD,102500,0.0,102500.0,At dealer,False,,JTHMPAAY1PA107441,Koons Lexus of Wilmington
2023,LC 500 Convertible,Caviar,RWD,102500,0.0,102500.0,At dealer,False,Available,JTHMPAAY1PA107472,Lexus of Route 10
2023,LC 500 Convertible,Ultra White,RWD,102500,0.0,102500.0,At dealer,False,Available,JTHMPAAY1PA107486,Lexus of Woodland Hills
2023,LC 500 Convertible,Ultra White,RWD,102500,0.0,102500.0,At dealer,False,,JTHMPAAY1PA107519,Bobby Rahal Lexus of Lewistown
2023,LC 500 Convertible,Ultra White,RWD,102500,0.0,102500.0,At dealer,False,DealerHold,JTHMPAAY1PA107553,Jim Falk Lexus of Beverly Hills
2023,LC 500 Convertible,Caviar,RWD,102500,0.0,102500.0,At dealer,False,Available,JTHMPAAY1PA107777,Lexus of Chandler
2023,LC 500 Convertible,Infrared,RWD,102500,0.0,102500.0,At dealer,False,DealerHold,JTHMPAAY1PA107780,Lexus of Palm Beach
2024,LC 500 Convertible,Ultra White,RWD,105200,0.0,105200.0,At dealer,False,,JTHMPAAY1RA107944,Lexus of Tulsa
2024,LC 500 Convertible,Ultra White,RWD,105200,0.0,105200.0,At dealer,False,,JTHMPAAY1RA107992,Butler Lexus of South Atlanta
2024,LC 500 Convertible,Caviar,RWD,105200,0.0,105200.0,At dealer,False,DealerHold,JTHMPAAY1RA108057,Park Place Lexus Plano
2024,LC 500 Convertible,Infrared,RWD,105200,0.0,105200.0,Port to dealer,False,,JTHMPAAY1RA108060,Bell Lexus North Scottsdale
2024,LC 500 Convertible,Caviar,RWD,105200,4995.0,110195.0,Port to dealer,False,,JTHMPAAY1RA108088,Sheehy Lexus of Annapolis
2024,LC 500 Convertible,Infrared,RWD,105200,0.0,105200.0,At dealer,False,,JTHMPAAY1RA108107,Lexus of Pembroke Pines
2024,LC 500 Convertible,Atomic Silver,RWD,105200,0.0,105200.0,At dealer,False,DealerHold,JTHMPAAY1RA108110,Lexus of Lakeway
2024,LC 500 Convertible,Nori Green Pearl,RWD,105200,0.0,105200.0,Port to dealer,False,DealerHold,JTHMPAAY1RA108169,Lexus San Diego
2024,LC 500 Convertible,Atomic Silver,RWD,105200,0.0,105200.0,Port to dealer,False,DealerHold,JTHMPAAY1RA108270,Hennessy Lexus of Atlanta
2024,LC 500 Convertible,Cloudburst Gray,RWD,105200,0.0,105200.0,Port to dealer,False,,JTHMPAAY1RA108284,North Park Lexus Rio Grande Valley
