Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer
2023,LS 500h,Obsidian,AWD,112785,0.0,112785.0,At dealer,False,Available,JTHGYLGF0P5002653,Serra Lexus Lansing
2023,LS 500h,Obsidian,AWD,112785,0.0,112785.0,At dealer,False,DealerHold,JTHGYLGF0P5002667,Lexus of Arlington
2023,LS 500h,Manganese Luster,AWD,112785,0.0,112785.0,At dealer,False,Available,JTHGYLGF1P5002600,Lexus of New Orleans
2023,LS 500h,Obsidian,AWD,112785,0.0,112785.0,At dealer,False,,JTHGYLGF1P5002659,Herrin-Gear Lexus
2023,LS 500h,Obsidian,AWD,113485,0.0,113485.0,Port to dealer,False,,JTHGYLGF1P5002712,Lexus of Cool Springs
2023,LS 500h,Iridium,AWD,112785,4995.0,117780.0,At dealer,False,,JTHGYLGF2P5002640,Sheehy Lexus of Annapolis
2023,LS 500h,Eminent White Pearl,AWD,113485,0.0,113485.0,Port to dealer,False,DealerHold,JTHGYLGF2P5002704,Park Place Lexus Grapevine
2023,LS 500h,Eminent White Pearl,AWD,112785,0.0,112785.0,At dealer,False,,JTHGYLGF3P5002596,Lexus of Orange Park
2023,LS 500h,Manganese Luster,AWD,112785,0.0,112785.0,At dealer,False,Available,JTHGYLGF3P5002629,Lexus of Kendall
2023,LS 500h,Caviar,AWD,112785,0.0,112785.0,At dealer,False,DealerHold,JTHGYLGF3P5002646,Ira Lexus
2023,LS 500h,Atomic Silver,AWD,112785,0.0,112785.0,At dealer,False,Available,JTHGYLGF3P5002677,Keyes Lexus
2023,LS 500h,Eminent White Pearl,AWD,112785,0.0,112785.0,At dealer,False,,JTHGYLGF3P5002680,Flow Lexus of Greensboro
2023,LS 500h,Caviar,AWD,113485,0.0,113485.0,Port to dealer,False,,JTHGYLGF3P5002713,DARCARS Lexus of Silver Spring
2023,LS 500h,Iridium,AWD,112785,0.0,112785.0,At dealer,False,DealerHold,JTHGYLGF4P5002591,Lexus of Louisville
2023,LS 500h,Caviar,AWD,112785,0.0,112785.0,At dealer,False,Available,JTHGYLGF4P5002610,Lexus of Wichita
2023,LS 500h,Eminent White Pearl,AWD,112785,0.0,112785.0,At dealer,False,,JTHGYLGF5P5002549,Lexus Stevens Creek
2023,LS 500h,Eminent White Pearl,AWD,112785,0.0,112785.0,At dealer,False,Available,JTHGYLGF5P5002597,Johnson Lexus of Raleigh
2023,LS 500h,Obsidian,AWD,112785,0.0,112785.0,At dealer,False,Available,JTHGYLGF5P5002650,Tom Wood Lexus
2023,LS 500h,Obsidian,AWD,113485,0.0,113485.0,At dealer,False,DealerHold,JTHGYLGF5P5002700,Lexus of Lexington
2023,LS 500h,Iridium,AWD,112785,0.0,112785.0,At dealer,False,Available,JTHGYLGF6P5002608,Ourisman Lexus of Rockville
2023,LS 500h,Eminent White Pearl,AWD,112785,0.0,112785.0,At dealer,False,Available,JTHGYLGF6P5002673,Lexus of Austin
2023,LS 500h,Iridium,AWD,113485,0.0,113485.0,At dealer,False,,JTHGYLGF6P5002706,Longo Lexus
2023,LS 500h,Atomic Silver,AWD,112785,0.0,112785.0,At dealer,False,Available,JTHGYLGF8P5002562,Lexus of Cherry Hill
2023,LS 500h,Eminent White Pearl,AWD,112785,0.0,112785.0,At dealer,False,,JTHGYLGF8P5002691,Thompson Lexus Doylestown
2023,LS 500h,Eminent White Pearl,AWD,112785,0.0,112785.0,At dealer,False,,JTHGYLGF9P5002635,Lindsay Lexus of Alexandria
2022,LS 500h,Nightfall Mica,AWD,112000,0.0,112000.0,At dealer,False,Available,JTHGYLGFXN5002477,Fresno Lexus
2023,LS 500h,Eminent White Pearl,AWD,112785,0.0,112785.0,At dealer,False,DealerHold,JTHGYLGFXP5002630,Priority Lexus Newport News
2023,LS 500h,Iridium,AWD,112785,0.0,112785.0,At dealer,False,DealerHold,JTHGYLGFXP5002644,Lexus of Glendale
