Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer
2023,LX 600 Premium,Eminent White Pearl,4WD,98765,0.0,98765.0,Port to dealer,False,DealerHold,JTJAB7CX0P4031538,Westside Lexus
2023,LX 600 Premium,Eminent White Pearl,4WD,98765,0.0,98765.0,Port to dealer,False,DealerHold,JTJAB7CX1P4030513,Lexus of Lehigh Valley
2023,LX 600 Premium,Manganese Luster,4WD,98765,0.0,98765.0,At dealer,False,Available,JTJAB7CX2P4028530,Ray Catena Lexus of Monmouth
2023,LX 600 Premium,Nori Green Pearl,4WD,98765,0.0,98765.0,At dealer,False,DealerHold,JTJAB7CX2P4030410,Westside Lexus
2023,LX 600 Premium,Eminent White Pearl,4WD,98765,0.0,98765.0,Port to dealer,False,DealerHold,JTJAB7CX2P4031329,Bob Johnson Lexus
2023,LX 600 Premium,Caviar,4WD,98765,0.0,98765.0,Port to dealer,False,DealerHold,JTJAB7CX2P4031475,Lexus of Montgomery
2023,LX 600 Premium,Atomic Silver,4WD,98765,0.0,98765.0,At dealer,False,DealerHold,JTJAB7CX3P4029525,Len Stoler Lexus
2023,LX 600 Premium,Atomic Silver,4WD,98765,0.0,98765.0,At dealer,False,DealerHold,JTJAB7CX3P4029704,Lexus of Thousand Oaks
2023,LX 600 Premium,Manganese Luster,4WD,98765,0.0,98765.0,Port to dealer,False,,JTJAB7CX4P4031073,Ray Catena Lexus of Monmouth
2023,LX 600 Premium,Atomic Silver,4WD,98765,0.0,98765.0,At dealer,False,DealerHold,JTJAB7CX6P4030250,Wilkie Lexus
2023,LX 600 Premium,Manganese Luster,4WD,98765,0.0,98765.0,At dealer,False,DealerHold,JTJAB7CX6P4030765,Hennessy Lexus of Gwinnett
2023,LX 600 Premium,Atomic Silver,4WD,98765,0.0,98765.0,At dealer,False,,JTJAB7CX7P4030807,Valley Lexus
2023,LX 600 Premium,Nori Green Pearl,4WD,98765,0.0,98765.0,Port to dealer,False,DealerHold,JTJAB7CX7P4030984,North Park Lexus of San Antonio
2023,LX 600 Premium,Eminent White Pearl,4WD,98765,0.0,98765.0,At dealer,False,DealerHold,JTJAB7CX7P4031049,Lexus of Tampa Bay
2023,LX 600 Premium,Manganese Luster,4WD,98765,0.0,98765.0,Port to dealer,False,,JTJAB7CX7P4031777,Lexus of Winter Park
