Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer
2023,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,Available,JTJHKCFZ0P2019888,DARCARS Lexus of Englewood
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ0R2023295,Stoler Lexus
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ0R2023331,"Lexus of Concord, LLC"
2024,NX 450h LUXURY,Atomic Silver,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ0R2024009,Hendrick Lexus Kansas City
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ0R2024723,Lexus of Glendale
2024,NX 450h LUXURY,Nori Green Pearl,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ0R2024902,Rallye Lexus
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ0R2024950,Putnam Lexus
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ0R2025029,Lexus of Westminster
2024,NX 450h LUXURY,Atomic Silver,AWD,57505,0.0,57505.0,Port to dealer,False,DealerHold,JTJHKCFZ0R2025435,Nalley Lexus - Roswell
2024,NX 450h LUXURY,Cloudburst Gray,AWD,57505,0.0,57505.0,At dealer,False,,JTJHKCFZ0R2025595,Lexus of Woodland Hills
2024,NX 450h LUXURY,Cloudburst Gray,AWD,57505,0.0,57505.0,At dealer,False,Available,JTJHKCFZ0R2025676,Tustin Lexus
2023,NX 450h LUXURY,Caviar,AWD,56555,0.0,56555.0,At dealer,False,Available,JTJHKCFZ1P2013663,Ray Catena Lexus of Monmouth
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ1R2020115,Lexus of Thousand Oaks
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ1R2020860,Stevinson Lexus of Frederick
2024,NX 450h LUXURY,Atomic Silver,AWD,57505,0.0,57505.0,At dealer,False,,JTJHKCFZ1R2022706,Tri-County Lexus
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,Available,JTJHKCFZ1R2022964,New Country Lexus of Great Neck
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,Available,JTJHKCFZ1R2023693,New Country Lexus of Great Neck
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,At dealer,False,,JTJHKCFZ1R2023774,Keyes Lexus
2024,NX 450h LUXURY,Cloudburst Gray,AWD,57505,0.0,57505.0,At dealer,False,Available,JTJHKCFZ1R2023855,Herb Chambers Lexus of Hingham
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ1R2024648,Jim Falk Lexus of Beverly Hills
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,At dealer,False,Available,JTJHKCFZ1R2024665,Lexus of Riverside
2024,NX 450h LUXURY,Cloudburst Gray,AWD,57505,0.0,57505.0,Port to dealer,False,DealerHold,JTJHKCFZ1R2024679,Lexus of Bridgewater
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,Port to dealer,False,DealerHold,JTJHKCFZ1R2024732,Westside Lexus
2024,NX 450h LUXURY,Nori Green Pearl,AWD,57505,0.0,57505.0,At dealer,False,,JTJHKCFZ1R2025234,Temecula Valley Lexus
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ1R2025329,Lexus Carlsbad
2024,NX 450h LUXURY,Atomic Silver,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ1R2025363,Lexus El Cajon
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ1R2025525,Lexus of Fremont
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,Port to dealer,False,DealerHold,JTJHKCFZ1R2025850,Lexus of Bellevue
2024,NX 450h LUXURY,Cloudburst Gray,AWD,57505,0.0,57505.0,At dealer,False,Available,JTJHKCFZ1R2025900,Temecula Valley Lexus
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,,JTJHKCFZ1R2026139,Lexus of Cerritos
2024,NX 450h LUXURY,Redline,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ1R2026206,Lexus of Thousand Oaks
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ2R2021211,Shottenkirk Desert Lexus
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,Port to dealer,False,DealerHold,JTJHKCFZ2R2023637,Haldeman Lexus of Princeton
2024,NX 450h LUXURY,Cloudburst Gray,AWD,57505,0.0,57505.0,At dealer,False,Available,JTJHKCFZ2R2023668,Herb Chambers Lexus of Hingham
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,Port to dealer,False,DealerHold,JTJHKCFZ2R2023752,Lexus of Jacksonville
2024,NX 450h LUXURY,Cloudburst Gray,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ2R2023962,Ray Catena Lexus
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,At dealer,False,Available,JTJHKCFZ2R2024772,Crown Lexus
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ2R2024822,Treasure Coast Lexus
2024,NX 450h LUXURY,Nori Green Pearl,AWD,57505,0.0,57505.0,Port to dealer,False,DealerHold,JTJHKCFZ2R2024934,Len Stoler Lexus
2024,NX 450h LUXURY,Redline,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ2R2024948,Lexus of Edison
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ2R2024965,Butler Lexus of South Atlanta
2024,NX 450h LUXURY,Cloudburst Gray,AWD,57505,0.0,57505.0,Port to dealer,False,DealerHold,JTJHKCFZ2R2025128,Classic Lexus
2024,NX 450h LUXURY,Atomic Silver,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ2R2025324,Lexus Santa Monica
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ2R2025789,Lexus San Diego
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ2R2025792,Lexus of Woodland Hills
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ2R2025968,Lexus San Diego
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,,JTJHKCFZ2R2026022,Motor City Lexus of Bakersfield
2024,NX 450h LUXURY,Cloudburst Gray,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ2R2026036,Lexus of Westminster
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ2R2026067,Lexus of Glendale
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ3R2021802,Lexus of Orlando
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ3R2022545,Lexus of Wichita
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,,JTJHKCFZ3R2023937,Lexus of Southampton
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,Port to dealer,False,DealerHold,JTJHKCFZ3R2025106,Ira Lexus
2024,NX 450h LUXURY,Atomic Silver,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ3R2025137,Lexus Santa Monica
2024,NX 450h LUXURY,Cloudburst Gray,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ3R2025347,Lexus San Diego
2024,NX 450h LUXURY,Redline,AWD,57505,0.0,57505.0,At dealer,False,,JTJHKCFZ3R2025364,Stevinson Lexus of Frederick
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ3R2025767,Lexus of Roseville
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ3R2025817,Lexus of Glendale
2024,NX 450h LUXURY,Cloudburst Gray,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ3R2025915,Fresno Lexus
2024,NX 450h LUXURY,Nori Green Pearl,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ3R2025994,Lexus of Fremont
2024,NX 450h LUXURY,Atomic Silver,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ3R2026112,Lexus Monterey Peninsula
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ3R2026210,Lexus of Sacramento
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,7995.0,65500.0,At dealer,False,Available,JTJHKCFZ4R2021131,Sheehy Lexus of Annapolis
2024,NX 450h LUXURY,Atomic Silver,AWD,57505,7995.0,65500.0,At dealer,False,,JTJHKCFZ4R2023820,Sheehy Lexus of Annapolis
2024,NX 450h LUXURY,Grecian Water,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ4R2024000,Lexus of Thousand Oaks
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ4R2024241,Shottenkirk Desert Lexus
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ4R2024336,Lexus of Thousand Oaks
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,Port to dealer,False,Available,JTJHKCFZ4R2024417,Lexus of Bridgewater
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ4R2024529,Lexus of Glendale
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,Port to dealer,False,DealerHold,JTJHKCFZ4R2025020,Lexus of Orange County
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,Available,JTJHKCFZ4R2025101,Lexus of Westminster
2024,NX 450h LUXURY,Atomic Silver,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ4R2025230,Lexus of Santa Barbara
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ4R2025325,Lexus of Glendale
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ4R2025440,Lexus of Greenwood Village
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,Port to dealer,False,DealerHold,JTJHKCFZ4R2025454,Lexus of Fremont
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ4R2025535,Lexus of Thousand Oaks
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ4R2025552,South Bay Lexus
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,,JTJHKCFZ4R2025583,Lexus of Cerritos
2024,NX 450h LUXURY,Atomic Silver,AWD,57505,0.0,57505.0,At dealer,False,Available,JTJHKCFZ4R2025647,South County Lexus at Mission Viejo
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,,JTJHKCFZ4R2025812,Lexus of Westminster
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ4R2025874,Lexus of Glendale
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ4R2025891,Lexus of Roseville
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,,JTJHKCFZ4R2025986,Lexus of Cerritos
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,At dealer,False,Available,JTJHKCFZ5R2020201,Keyes Lexus
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ5R2021736,Lexus of Thousand Oaks
2024,NX 450h LUXURY,Atomic Silver,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ5R2023468,Fox Lexus of El Paso
2024,NX 450h LUXURY,Atomic Silver,AWD,57505,0.0,57505.0,At dealer,False,Available,JTJHKCFZ5R2024264,Lexus of Santa Barbara
2024,NX 450h LUXURY,Atomic Silver,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ5R2024457,Lexus of Glendale
2024,NX 450h LUXURY,Cloudburst Gray,AWD,57505,0.0,57505.0,At dealer,False,,JTJHKCFZ5R2024491,Lexus of Cerritos
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,Port to dealer,False,DealerHold,JTJHKCFZ5R2024894,Ray Catena Lexus of Freehold
2024,NX 450h LUXURY,Cloudburst Gray,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ5R2024944,Lexus of Fremont
2024,NX 450h LUXURY,Atomic Silver,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ5R2024992,Lexus of Cherry Hill
2024,NX 450h LUXURY,Nori Green Pearl,AWD,57505,0.0,57505.0,At dealer,False,,JTJHKCFZ5R2025057,Lexus Escondido
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,Port to dealer,False,DealerHold,JTJHKCFZ5R2025141,Johnson Lexus of Raleigh
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ5R2025284,Lexus of Glendale
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,Port to dealer,False,DealerHold,JTJHKCFZ5R2025527,Lexus of Serramonte
2024,NX 450h LUXURY,Redline,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ5R2026046,Stevinson Lexus of Lakewood
2024,NX 450h LUXURY,Cloudburst Gray,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ5R2026080,Tustin Lexus
2023,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,Available,JTJHKCFZ6P2019720,Lexus of Smithtown
2023,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,At dealer,False,Available,JTJHKCFZ6P2019734,Lexus of Towson
2024,NX 450h LUXURY,Caviar,AWD,57505,0.0,57505.0,At dealer,False,,JTJHKCFZ6R2023592,Prestige Lexus of Ramsey
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,,JTJHKCFZ6R2023818,Ray Catena Lexus of Monmouth
2024,NX 450h LUXURY,Cloudburst Gray,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ6R2023978,Lexus of Glendale
2024,NX 450h LUXURY,Atomic Silver,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ6R2024483,Lexus of Thousand Oaks
2024,NX 450h LUXURY,Cloudburst Gray,AWD,57505,0.0,57505.0,Port to dealer,False,,JTJHKCFZ6R2024614,Putnam Lexus
2024,NX 450h LUXURY,Atomic Silver,AWD,57505,0.0,57505.0,At dealer,False,DealerHold,JTJHKCFZ6R2024841,Lexus of Glendale
2024,NX 450h LUXURY,Eminent White Pearl,AWD,57505,0.0,57505.0,At dealer,False,Available,JTJHKCFZ6R2024905,South County Lexus at Mission Viejo
