Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer
2023,RC 300,Caviar,RWD,44670,0.0,44670.0,At dealer,False,,JTHAA5BC0P5012473,Germain Lexus of Naples
2023,RC 300,Caviar,RWD,44670,0.0,44670.0,Port to dealer,False,DealerHold,JTHAA5BC2P5012507,Westside Lexus
2023,RC 300,Eminent White Pearl,RWD,44320,0.0,44320.0,At dealer,False,,JTHAA5BC3P5012452,Lexus of Kendall
2023,RC 300,Atomic Silver,RWD,44670,0.0,44670.0,Port to dealer,False,,JTHAA5BC3P5012497,Lexus of Winter Park
2023,RC 300,Eminent White Pearl,RWD,44320,0.0,44320.0,At dealer,False,,JTHAA5BC4P5012413,JM Lexus
2023,RC 300,Eminent White Pearl,RWD,44320,0.0,44320.0,At dealer,False,,JTHAA5BC4P5012444,Lexus of West Kendall
2023,RC 300,Eminent White Pearl,RWD,44320,0.0,44320.0,At dealer,False,Available,JTHAA5BC6P5012414,Germain Lexus of Naples
2023,RC 300,Eminent White Pearl,RWD,44320,0.0,44320.0,At dealer,False,,JTHAA5BC7P5012440,Lexus of Mobile
2023,RC 300,Infrared,RWD,44670,0.0,44670.0,Port to dealer,False,,JTHAA5BC7P5012499,Treasure Coast Lexus
2023,RC 300,Atomic Silver,RWD,44320,0.0,44320.0,At dealer,False,,JTHAA5BC9P5012441,Lexus of North Miami
2023,RC 300,Atomic Silver,RWD,44320,0.0,44320.0,At dealer,False,,JTHAA5BCXP5012433,Lexus of West Kendall
2023,RC 300,Atomic Silver,RWD,44320,0.0,44320.0,At dealer,False,Available,JTHAA5BCXP5012464,Lexus of Clearwater
2023,RC 300 AWD,Eminent White Pearl,AWD,47010,0.0,47010.0,At dealer,False,DealerHold,JTHD85EC0P5006905,Wilkie Lexus
2023,RC 300 AWD,Caviar,AWD,47360,2995.0,50355.0,Port to dealer,False,,JTHD85EC2P5007036,Sheehy Lexus of Annapolis
2023,RC 300 AWD,Caviar,AWD,47360,0.0,47360.0,At dealer,False,,JTHD85EC3P5007014,Tri-County Lexus
2022,RC 300 AWD,Caviar,AWD,45510,0.0,45510.0,At dealer,False,Available,JTHD85EC4N5006886,Lexus of Brooklyn
2023,RC 300 AWD,Caviar,AWD,47360,0.0,47360.0,Port to dealer,False,,JTHD85EC4P5007037,Tri-County Lexus
2023,RC 300 AWD,Grecian Water,AWD,47360,0.0,47360.0,Port to dealer,False,,JTHD85EC4P5007040,DARCARS Lexus of Silver Spring
2023,RC 300 AWD,Caviar,AWD,47360,0.0,47360.0,At dealer,False,,JTHD85EC5P5007029,Rallye Lexus
2023,RC 300 AWD,Eminent White Pearl,AWD,47010,0.0,47010.0,At dealer,False,Available,JTHD85EC6P5006911,Butler Lexus of South Atlanta
2023,RC 300 AWD,Caviar,AWD,47010,0.0,47010.0,At dealer,False,,JTHD85EC6P5006990,New Country Lexus of Latham
2023,RC 300 AWD,Caviar,AWD,47360,0.0,47360.0,At dealer,False,,JTHD85EC6P5007024,New Country Lexus of Great Neck
2023,RC 300 AWD,Atomic Silver,AWD,47360,0.0,47360.0,At dealer,False,,JTHD85EC7P5007016,Len Stoler Lexus
2023,RC 300 AWD,Caviar,AWD,47360,0.0,47360.0,At dealer,False,,JTHD85EC8P5007025,Wilkie Lexus
2023,RC 300 AWD,Eminent White Pearl,AWD,47360,0.0,47360.0,Port to dealer,False,,JTHD85EC8P5007039,Ray Catena Lexus of Monmouth
2023,RC 300 AWD,Infrared,AWD,47360,0.0,47360.0,Port to dealer,False,,JTHD85EC8P5007042,Ourisman Lexus of Rockville
2023,RC 300 AWD,Obsidian,AWD,47010,0.0,47010.0,At dealer,False,,JTHD85EC9P5006935,Bobby Rahal Lexus of Lewistown
2023,RC 300 AWD,Caviar,AWD,47360,0.0,47360.0,At dealer,False,,JTHD85EC9P5007034,Thompson Lexus Doylestown
2023,RC 350,Eminent White Pearl,RWD,47250,0.0,47250.0,At dealer,False,,JTHDZ5BC0P5026766,Lexus of Jacksonville
2023,RC 350,Eminent White Pearl,RWD,47250,0.0,47250.0,At dealer,False,,JTHDZ5BC0P5026783,Fox Lexus of El Paso
2023,RC 350,Atomic Silver,RWD,47600,0.0,47600.0,At dealer,False,,JTHDZ5BC0P5026864,Flow Lexus of Winston-Salem
2023,RC 350,Atomic Silver,RWD,47600,0.0,47600.0,At dealer,False,,JTHDZ5BC0P5026993,Butler Lexus of South Atlanta
2023,RC 350,Infrared,RWD,47600,0.0,47600.0,Port to dealer,False,,JTHDZ5BC0P5027058,Nalley Lexus - Roswell
2022,RC 350,Grecian Water,RWD,45750,0.0,45750.0,At dealer,False,Available,JTHDZ5BC1N5025932,Lexus of West Kendall
2023,RC 350,Eminent White Pearl,RWD,47250,0.0,47250.0,At dealer,False,Available,JTHDZ5BC1P5026839,Lexus of Palm Beach
2023,RC 350,Atomic Silver,RWD,47600,0.0,47600.0,At dealer,False,Available,JTHDZ5BC1P5026873,JM Lexus
2023,RC 350,Obsidian,RWD,47600,0.0,47600.0,At dealer,True,DealerHold,JTHDZ5BC1P5026923,North Park Lexus of San Antonio
2023,RC 350,Eminent White Pearl,RWD,47600,0.0,47600.0,Port to dealer,False,,JTHDZ5BC1P5026971,Lexus of West Kendall
2023,RC 350,Caviar,RWD,47600,0.0,47600.0,Port to dealer,False,,JTHDZ5BC1P5027067,Butler Lexus of South Atlanta
2023,RC 350,Eminent White Pearl,RWD,47250,0.0,47250.0,At dealer,False,DealerHold,JTHDZ5BC2P5026851,Nalley Lexus - Roswell
2023,RC 350,Infrared,RWD,47600,0.0,47600.0,Port to dealer,False,,JTHDZ5BC2P5027062,JM Lexus
2023,RC 350,Atomic Silver,RWD,47600,0.0,47600.0,Port to dealer,False,DealerHold,JTHDZ5BC2P5027076,Northside Lexus
2023,RC 350,Eminent White Pearl,RWD,47250,0.0,47250.0,At dealer,False,,JTHDZ5BC3P5026521,Lexus of Shreveport - Bossier City
2023,RC 350,Atomic Silver,RWD,47600,0.0,47600.0,At dealer,False,,JTHDZ5BC3P5026860,Lexus of New Orleans
2023,RC 350,Atomic Silver,RWD,47600,0.0,47600.0,At dealer,False,,JTHDZ5BC3P5026910,Lexus of New Orleans
2023,RC 350,Eminent White Pearl,RWD,47250,0.0,47250.0,At dealer,False,,JTHDZ5BC4P5026818,Germain Lexus of Naples
2023,RC 350,Eminent White Pearl,RWD,47600,0.0,47600.0,At dealer,False,,JTHDZ5BC4P5026978,Lexus of Melbourne
2023,RC 350,Caviar,RWD,47600,0.0,47600.0,At dealer,False,,JTHDZ5BC4P5026981,Butler Lexus of South Atlanta
2023,RC 350,Eminent White Pearl,RWD,47600,0.0,47600.0,Port to dealer,False,,JTHDZ5BC4P5027032,Lexus of Montgomery
2023,RC 350,Eminent White Pearl,RWD,47250,0.0,47250.0,At dealer,False,,JTHDZ5BC5P5026617,JM Lexus
2023,RC 350,Obsidian,RWD,47250,0.0,47250.0,At dealer,False,,JTHDZ5BC5P5026746,Lexus of Knoxville
2023,RC 350,Eminent White Pearl,RWD,47600,0.0,47600.0,At dealer,False,DealerHold,JTHDZ5BC5P5026942,Northside Lexus
2023,RC 350,Caviar,RWD,47600,0.0,47600.0,At dealer,False,,JTHDZ5BC5P5026956,Scanlon Lexus of Fort Myers
2023,RC 350,Atomic Silver,RWD,47600,0.0,47600.0,At dealer,False,,JTHDZ5BC5P5026973,Lexus of Melbourne
2023,RC 350,Caviar,RWD,47600,0.0,47600.0,At dealer,False,,JTHDZ5BC5P5026987,Butler Lexus
2023,RC 350,Eminent White Pearl,RWD,47600,0.0,47600.0,Port to dealer,False,,JTHDZ5BC5P5027041,JM Lexus
