Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer
2023,RC F,Infrared,RWD,66695,0.0,66695.0,At dealer,False,Available,JTHDP5BC0P5008774,Lexus Carlsbad
2022,RC F,Ultra White,RWD,66320,0.0,66320.0,At dealer,False,DealerHold,JTHDP5BC2N5008644,Lexus of Freeport
2022,RC F,Ultra White,RWD,66320,0.0,66320.0,At dealer,False,,JTHDP5BC3N5008491,Lexus of Shreveport - Bossier City
2023,RC F,Caviar,RWD,66695,0.0,66695.0,At dealer,False,,JTHDP5BC3P5008705,Herb Chambers Lexus of Hingham
2022,RC F,Infrared,RWD,66320,0.0,66320.0,At dealer,False,Available,JTHDP5BC4N5008516,Lexus of Dayton
2022,RC F,Ultrasonic Blue Mica 2.0,RWD,66320,0.0,66320.0,At dealer,False,DealerHold,JTHDP5BC4N5008564,Lexus of Cerritos
2023,RC F,Ultra White,RWD,66695,0.0,66695.0,At dealer,False,,JTHDP5BC6P5008732,Lexus of Colorado Springs
2022,RC F,Ultra White,RWD,66320,0.0,66320.0,At dealer,False,DealerHold,JTHDP5BC8N5008678,Lexus of Freeport
2023,RC F,Ultra White,RWD,67045,0.0,67045.0,At dealer,False,Available,JTHJP5BC2P5008813,Longo Lexus
2022,RC F,Infrared,RWD,66320,0.0,66320.0,At dealer,False,Available,JTHJP5BC4N5008633,Fresno Lexus
2023,RC F,Caviar,RWD,66695,0.0,66695.0,At dealer,False,DealerHold,JTHJP5BC5P5008711,Lexus of Louisville
2022,RC F,Ultra White,RWD,66320,0.0,66320.0,At dealer,False,Available,JTHJP5BC8N5008585,Lexus of Tacoma at Fife
2023,RC F Fuji Speedway Edition,Incognito,RWD,99920,0.0,99920.0,Port to dealer,False,DealerHold,JTHYP5BC4P5008827,Lexus of Tacoma at Fife
