Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,61600,0.0,61600.0,At dealer,False,Available,2T2BCMEA0PC003534,Lexus of Pleasanton
2023,RX 500h F SPORT PERFORMANCE,Copper Crest,AWD,61600,0.0,61600.0,At dealer,False,,2T2BCMEA0PC005297,Lindsay Lexus of Alexandria
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,61600,0.0,61600.0,At dealer,False,Available,2T2BCMEA0PC005722,Lexus of Riverside
2023,RX 500h F SPORT PERFORMANCE,Nebula Gray Pearl,AWD,62000,0.0,62000.0,At dealer,False,DealerHold,2T2BCMEA0PC006241,Jim Falk Lexus of Beverly Hills
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,At dealer,False,DealerHold,2T2BCMEA0PC006384,Lexus of Chandler
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,At dealer,False,DealerHold,2T2BCMEA0PC006630,Lexus of Westminster
2023,RX 500h F SPORT PERFORMANCE,Caviar,AWD,62000,0.0,62000.0,At dealer,False,Available,2T2BCMEA0PC006689,Shottenkirk Desert Lexus
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,At dealer,False,,2T2BCMEA0PC006899,Lexus of Sarasota
2023,RX 500h F SPORT PERFORMANCE,Nebula Gray Pearl,AWD,62000,0.0,62000.0,At dealer,False,,2T2BCMEA0PC007230,Ourisman Lexus of Rockville
2023,RX 500h F SPORT PERFORMANCE,Copper Crest,AWD,62000,0.0,62000.0,At dealer,True,DealerHold,2T2BCMEA0PC007423,North Park Lexus of San Antonio
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,At dealer,False,DealerHold,2T2BCMEA0PC007616,Jim Falk Lexus of Beverly Hills
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,At dealer,False,,2T2BCMEA0PC007728,DARCARS Lexus of Silver Spring
2023,RX 500h F SPORT PERFORMANCE,Caviar,AWD,62000,0.0,62000.0,At dealer,False,,2T2BCMEA0PC007745,Lexus Stevens Creek
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,At dealer,False,,2T2BCMEA0PC007857,Stevinson Lexus of Frederick
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,At dealer,False,,2T2BCMEA0PC007924,Lexus of Pleasanton
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,At dealer,False,,2T2BCMEA0PC008331,Stevinson Lexus of Lakewood
2023,RX 500h F SPORT PERFORMANCE,Caviar,AWD,62000,0.0,62000.0,At dealer,False,,2T2BCMEA0PC008457,New Country Lexus of Latham
2023,RX 500h F SPORT PERFORMANCE,Caviar,AWD,62000,0.0,62000.0,At dealer,False,,2T2BCMEA0PC008460,Putnam Lexus
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,Port to dealer,True,DealerHold,2T2BCMEA0PC008488,Kendall Lexus of Alaska
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,At dealer,False,Available,2T2BCMEA0PC008507,Lexus of Smithtown
2023,RX 500h F SPORT PERFORMANCE,Nebula Gray Pearl,AWD,62000,0.0,62000.0,At dealer,False,DealerHold,2T2BCMEA0PC008538,"Jim Hudson Lexus, Augusta"
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,Port to dealer,False,DealerHold,2T2BCMEA0PC008569,Lexus of Thousand Oaks
2023,RX 500h F SPORT PERFORMANCE,Nebula Gray Pearl,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC008636,Lexus of Greenwood Village
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,Port to dealer,False,DealerHold,2T2BCMEA0PC008653,Lexus of Wayzata
2023,RX 500h F SPORT PERFORMANCE,Caviar,AWD,62000,0.0,62000.0,Port to dealer,False,DealerHold,2T2BCMEA0PC008667,Lexus of Louisville
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC008670,Lexus San Diego
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,At dealer,False,DealerHold,2T2BCMEA0PC008698,Lexus of Riverside
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC008703,Lexus Monterey Peninsula
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC008720,Lexus of Cerritos
2023,RX 500h F SPORT PERFORMANCE,Caviar,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC008748,Stevinson Lexus of Frederick
2023,RX 500h F SPORT PERFORMANCE,Nebula Gray Pearl,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC008765,Lexus of Pleasanton
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC008782,Lexus of Pleasanton
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC008796,Stevinson Lexus of Lakewood
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,At dealer,False,Available,2T2BCMEA0PC008801,Wilkie Lexus
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,At dealer,False,Available,2T2BCMEA0PC008815,Hendrick Lexus Charleston
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC008829,Jim Falk Lexus of Beverly Hills
2023,RX 500h F SPORT PERFORMANCE,Nebula Gray Pearl,AWD,62000,0.0,62000.0,Port to dealer,False,DealerHold,2T2BCMEA0PC008832,Stoler Lexus
2023,RX 500h F SPORT PERFORMANCE,Nebula Gray Pearl,AWD,62000,0.0,62000.0,Port to dealer,False,DealerHold,2T2BCMEA0PC008846,Lexus of Fremont
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,Port to dealer,False,DealerHold,2T2BCMEA0PC008880,Lexus Monterey Peninsula
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,Port to dealer,False,DealerHold,2T2BCMEA0PC008894,Reliable Lexus
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,Port to dealer,False,Available,2T2BCMEA0PC008913,Lexus of Merrillville
2023,RX 500h F SPORT PERFORMANCE,Nebula Gray Pearl,AWD,62000,0.0,62000.0,At dealer,False,Available,2T2BCMEA0PC008930,Germain Lexus of Dublin
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC008944,Lexus of Cerritos
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,Port to dealer,False,DealerHold,2T2BCMEA0PC008961,Lexus of Tacoma at Fife
2023,RX 500h F SPORT PERFORMANCE,Caviar,AWD,62000,0.0,62000.0,Port to dealer,False,Available,2T2BCMEA0PC008975,Lexus of Nashville
2023,RX 500h F SPORT PERFORMANCE,Caviar,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC008989,Lexus of Bellevue
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,Port to dealer,False,DealerHold,2T2BCMEA0PC009009,Peterson Lexus
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,At dealer,False,DealerHold,2T2BCMEA0PC009012,Metro Lexus
2023,RX 500h F SPORT PERFORMANCE,Caviar,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC009026,Lexus of Northborough
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,Port to dealer,False,DealerHold,2T2BCMEA0PC009057,McGrath Lexus of Westmont
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,At dealer,False,,2T2BCMEA0PC009060,Hoffman Lexus
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,Port to dealer,False,DealerHold,2T2BCMEA0PC009074,Nalley Lexus - Roswell
2023,RX 500h F SPORT PERFORMANCE,Caviar,AWD,62000,0.0,62000.0,Port to dealer,False,DealerHold,2T2BCMEA0PC009088,Johnson Lexus of Raleigh
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,At dealer,False,,2T2BCMEA0PC009124,DARCARS Lexus of Silver Spring
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC009172,Lexus of Queens
2023,RX 500h F SPORT PERFORMANCE,Nebula Gray Pearl,AWD,62000,0.0,62000.0,At dealer,False,,2T2BCMEA0PC009186,Lexus of Towson
2023,RX 500h F SPORT PERFORMANCE,Caviar,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC009236,Scanlon Lexus of Fort Myers
2023,RX 500h F SPORT PERFORMANCE,Caviar,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC009253,Rallye Lexus
2023,RX 500h F SPORT PERFORMANCE,Nebula Gray Pearl,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC009267,Sewell Lexus
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC009270,Coliseum Lexus of Oakland
2023,RX 500h F SPORT PERFORMANCE,Caviar,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC009298,Crown Lexus
2023,RX 500h F SPORT PERFORMANCE,Nebula Gray Pearl,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC009320,Lexus of Sacramento
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC009351,Longo Lexus
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,Port to dealer,False,DealerHold,2T2BCMEA0PC009365,Arrowhead Lexus
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,Port to dealer,False,,2T2BCMEA0PC009382,Tri-County Lexus
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,61600,0.0,61600.0,At dealer,False,DealerHold,2T2BCMEA1PC003056,Lexus of Glendale
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,61600,0.0,61600.0,At dealer,False,Available,2T2BCMEA1PC004983,Lindsay Lexus of Alexandria
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,61600,0.0,61600.0,At dealer,False,Available,2T2BCMEA1PC005180,Haldeman Lexus of Princeton
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,61600,0.0,61600.0,At dealer,False,Available,2T2BCMEA1PC005728,Lindsay Lexus of Alexandria
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,61600,0.0,61600.0,At dealer,False,Available,2T2BCMEA1PC006040,Lexus of Santa Barbara
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,61600,0.0,61600.0,At dealer,False,DealerHold,2T2BCMEA1PC006118,Jim Falk Lexus of Beverly Hills
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,At dealer,False,,2T2BCMEA1PC006474,Stevinson Lexus of Lakewood
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,At dealer,False,,2T2BCMEA1PC006572,Stevinson Lexus of Lakewood
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,At dealer,False,Available,2T2BCMEA1PC006636,Motor City Lexus of Bakersfield
2023,RX 500h F SPORT PERFORMANCE,Copper Crest,AWD,62000,887.0,62887.0,At dealer,False,Available,2T2BCMEA1PC006782,Lexus of Birmingham
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,Port to dealer,False,DealerHold,2T2BCMEA1PC006880,Lexus of Pembroke Pines
2023,RX 500h F SPORT PERFORMANCE,Caviar,AWD,62000,0.0,62000.0,At dealer,False,DealerHold,2T2BCMEA1PC006989,Lexus of Glendale
2023,RX 500h F SPORT PERFORMANCE,Caviar,AWD,62000,1513.0,63513.0,At dealer,False,,2T2BCMEA1PC007124,Lexus of Marin
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,At dealer,False,Available,2T2BCMEA1PC007298,Lexus of Santa Barbara
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,At dealer,False,DealerHold,2T2BCMEA1PC007320,Bergstrom Lexus
2023,RX 500h F SPORT PERFORMANCE,Ultra White,AWD,62000,0.0,62000.0,At dealer,False,DealerHold,2T2BCMEA1PC007494,Lexus of Glendale
2023,RX 500h F SPORT PERFORMANCE,Iridium,AWD,62000,0.0,62000.0,At dealer,False,Available,2T2BCMEA1PC007575,Stevinson Lexus of Lakewood
